"year","month","day","dep_time","sched_dep_time","dep_delay","arr_time","sched_arr_time","arr_delay","carrier","flight","tailnum","origin","dest","air_time","distance","hour","minute","time_hour"
2013,1,1,811,630,101,1047,830,137,"MQ",4576,"N531MQ","LGA","CLT",118,544,6,30,"2013-01-01T11:00:00Z"
2013,1,1,848,1835,853,1001,1950,851,"MQ",3944,"N942MQ","JFK","BWI",41,184,18,35,"2013-01-01T23:00:00Z"
2013,1,1,957,733,144,1056,853,123,"UA",856,"N534UA","EWR","BOS",37,200,7,33,"2013-01-01T12:00:00Z"
2013,1,1,1114,900,134,1447,1222,145,"UA",1086,"N76502","LGA","IAH",248,1416,9,0,"2013-01-01T14:00:00Z"
2013,1,1,1120,944,96,1331,1213,78,"EV",4495,"N16561","EWR","SAV",117,708,9,44,"2013-01-01T14:00:00Z"
2013,1,1,1255,1200,55,1451,1330,81,"MQ",4601,"N518MQ","LGA","BNA",139,764,12,0,"2013-01-01T17:00:00Z"
2013,1,1,1301,1150,71,1518,1345,93,"MQ",4646,"N542MQ","LGA","MSP",170,1020,11,50,"2013-01-01T16:00:00Z"
2013,1,1,1337,1220,77,1649,1531,78,"B6",673,"N636JB","JFK","LAX",352,2475,12,20,"2013-01-01T17:00:00Z"
2013,1,1,1342,1320,22,1617,1504,73,"EV",3832,"N13969","EWR","STL",194,872,13,20,"2013-01-01T18:00:00Z"
2013,1,1,1400,1250,70,1645,1502,103,"EV",4869,"N748EV","LGA","MEM",178,963,12,50,"2013-01-01T17:00:00Z"
2013,1,1,1402,1323,39,1650,1526,84,"EV",4516,"N13123","EWR","MEM",183,946,13,23,"2013-01-01T18:00:00Z"
2013,1,1,1411,1315,56,1717,1611,66,"B6",505,"N516JB","EWR","FLL",154,1065,13,15,"2013-01-01T18:00:00Z"
2013,1,1,1424,1349,35,1701,1556,65,"EV",4687,"N15574","EWR","CVG",129,569,13,49,"2013-01-01T18:00:00Z"
2013,1,1,1428,1329,59,1803,1640,83,"B6",355,"N635JB","JFK","BUR",371,2465,13,29,"2013-01-01T18:00:00Z"
2013,1,1,1505,1310,115,1638,1431,127,"EV",4497,"N17984","EWR","RIC",63,277,13,10,"2013-01-01T18:00:00Z"
2013,1,1,1525,1340,105,1831,1626,125,"B6",525,"N231JB","EWR","MCO",152,937,13,40,"2013-01-01T18:00:00Z"
2013,1,1,1540,1338,122,2020,1825,115,"B6",705,"N570JB","JFK","SJU",193,1598,13,38,"2013-01-01T18:00:00Z"
2013,1,1,1548,1420,88,1751,1620,91,"MQ",4588,"N6EAMQ","LGA","MSP",167,1020,14,20,"2013-01-01T19:00:00Z"
